Player,NumTackles,Int,PD,Fumb,FumbRec,TD,Age,Sacks
Calais Campbell,809,3,57,1,12,3,22-36,99
Tyson Alualu,416,0,15,0,3,0,23-35,25
Carlos Dunlap,578,2,77,0,9,3,21-33,100
Brandon Graham,451,0,8,0,7,1,22-34,70
Jerry Hughes,447,2,21,0,5,2,22-34,67
Kareem Jackson,901,20,107,0,7,4,22-34,3
Linval Joseph,664,0,6,0,5,1,22-34,25.5
Devin McCourty,971,35,110,1,7,4,23-35,3
Jason Pierre-Paul,629,5,66,0,10,3,21-33,94.5
Ndamukong Suh,600,1,38,0,9,3,23-35,71.5
Mario Addison,296,0,7,0,4,0,24-35,68
Nick Bellore,224,1,5,1,5,2,22-33,1
Josh Bynes,582,5,34,0,3,1,22-33,8.5
Chris Harris Jr.,621,22,97,0,4,4,22-33,6
Cameron Heyward,614,2,46,0,7,0,22-33,78.5
Justin Houston,506,5,34,0,14,2,22-33,111.5
Cameron Jordan,639,2,58,0,10,1,22-33,115.5
Corey Peters,336,1,10,0,3,1,22-34,19
Patrick Peterson,610,34,111,19,12,6,21-32,4
Robert Quinn,369,0,20,0,3,1,21-32,102
J.J. Watt,586,2,70,0,17,6,22-33,114.5
Al Woods,293,0,7,0,2,0,23-35,9
Justin Bethel,263,5,24,0,8,4,22-32,0
Michael Brockers,451,0,10,0,1,0,22-32,29
Fletcher Cox,486,0,14,0,13,3,22-32,65
Demario Davis,1136,3,47,0,7,0,23-33,36
Lavonte David,1346,12,59,0,18,3,22-32,29
Stephon Gilmore,493,29,127,0,3,2,22-32,1
Tashaun Gipson,624,32,65,1,3,3,22-32,1.5
Lawrence Guy,469,1,8,0,6,0,22-32,17
Josh Harris,30,0,0,1,0,0,23-33,0
Casey Hayward,448,25,112,0,4,3,23-33,0
Akiem Hicks,409,0,12,0,6,2,23-33,41.5
Melvin Ingram,407,3,30,1,9,2,23-33,57
Bruce Irvin,343,3,13,0,3,2,25-35,55.5
Jackrabbit Jenkins,579,27,124,4,2,10,24-34,2
Chandler Jones,511,1,30,0,13,3,22-32,112
Rodney McLeod,689,18,60,0,9,3,22-32,2
Von Miller,561,2,24,0,9,2,22-33,123.5
Josh Norman,497,16,88,1,7,3,25-35,1
Harrison Smith,946,34,83,0,8,4,23-33,16.5
Bobby Wagner,1523,13,65,1,9,4,22-32,29.5
Chris Banjo,143,3,8,0,2,1,23-32,0
Jamie Collins,708,12,39,1,8,2,24-33,26.5
Vinny Curry,209,0,2,0,2,0,24-34,32.5
Cody Davis,113,2,8,1,2,0,24-33,0
