Player,RushingTD,PassingCompletions,Int,PassingAttempts,ReceivingYards,RushingAttempts,PassingYards,PassingTD,RushingYards,ReceivingTD,Age
Tom Brady,28,7753,212,12050,65,693,89214,649,1123,0,23-45
Jason Peters,0,0,0,0,5,0,0,0,0,1,22-40
Marcedes Lewis,0,0,0,0,5084,0,0,0,0,39,22-38
Duane Brown,0,0,0,0,0,0,0,0,0,0,23-37
Joe Flacco,16,3881,147,6299,32,368,42320,232,862,0,23-37
Clark Harris,0,0,0,0,0,0,0,0,0,0,24-37
DeSean Jackson,4,0,1,1,11263,72,0,0,463,58,22-36
Matt Ryan,13,5551,183,8464,5,514,62792,381,1539,1,23-37
Matthew Slater,0,0,0,0,46,2,0,0,11,0,23-37
Brian Hoyer,2,902,35,1518,0,117,10668,53,115,0,24-37
J.J. Jansen,0,0,0,0,0,0,0,0,0,0,35
Morgan Cox,0,0,0,0,0,0,0,0,0,0,35
Chase Daniel,0,186,7,273,8,55,1746,9,120,0,24-36
Richie Incognito,0,0,0,0,0,0,0,0,0,0,23-37
Andre Roberts,0,0,0,0,3079,16,0,0,120,15,22-34
Rodger Saffold,0,0,0,0,0,0,0,0,0,0,22-34
Jon Weeks,0,0,0,0,0,0,0,0,0,0,35
Nick Bellore,0,0,0,0,15,1,0,0,0,0,29
Randall Cobb,0,1,0,4,7585,63,10,0,364,53,21-32
Andy Dalton,22,3374,144,5396,11,468,38150,244,1465,1,24-35
Rodney Hudson,0,0,0,0,0,0,0,0,0,0,22-33
Mark Ingram,65,0,0,0,2125,1817,0,0,8111,10,22-33
Julio Jones,0,0,0,0,13629,24,0,0,163,63,22-33
Taiwan Jones,0,0,0,0,260,53,0,0,223,1,23-34
Jason Kelce,0,0,0,0,0,0,0,0,0,0,24-35
Colt McCoy,2,764,32,1220,8,175,7975,34,582,0,24-36
Jake McQuaide,0,0,0,0,0,0,0,0,0,0,34
Kyle Rudolph,0,0,0,0,4773,0,0,0,0,50,22-33
Tyron Smith,0,0,0,0,0,0,0,0,0,0,21-32
Tyrod Taylor,19,952,26,1550,10,366,10794,60,2071,0,22-33
Trent Williams,0,0,0,0,0,0,0,0,0,0,22-34
Kelvin Beachum,0,0,0,0,0,0,0,0,0,0,23-33
Cole Beasley,0,1,0,4,5744,1,20,1,7,34,23-33
Aaron Brewer,0,0,0,0,0,0,0,0,0,0,31
Marcus Cannon,0,0,0,0,0,0,0,0,0,0,23-34
Nick Foles,6,1302,47,2087,10,151,14227,82,407,0,23-33
A.J. Green,0,0,0,0,10514,11,0,0,93,70,23-34
T.Y. Hilton,0,0,0,1,9812,9,0,0,55,53,23-33
Ben Jones,0,0,0,0,0,0,0,0,0,0,23-33
Riley Reiff,0,0,0,0,0,0,0,0,0,0,24-34
Russell Wilson,26,3371,98,5218,21,901,40583,308,4966,1,24-34
Keenan Allen,0,0,0,2,9287,16,0,0,107,52,21-30
Terron Armstead,0,0,0,0,0,0,0,0,0,0,22-31
David Bakhtiari,0,0,0,0,0,0,0,0,0,0,22-31
Giovani Bernard,22,0,0,0,2989,937,0,0,3783,14,22-31
Brandon Bolden,12,0,0,0,959,300,0,0,1363,7,22-32
Beau Brinkley,0,0,0,0,0,0,0,0,0,0,30-31
Rex Burkhead,17,0,0,2,1534,488,0,0,1908,9,23-32
Tom Compton,0,0,0,0,0,0,0,0,0,0,24-33
Zach Ertz,0,0,0,0,7247,1,0,0,4,45,23-32
Ryan Griffin,0,0,0,0,2184,0,0,0,0,14,23-32
DeAndre Hopkins,0,1,1,3,11298,4,6,1,12,71,21-30
Lane Johnson,0,0,0,0,5,0,0,0,0,1,23-32
Marvin Jones,0,0,0,0,7386,19,0,0,148,58,22-32
Kyle Juszczyk,5,0,0,0,2345,57,0,0,205,14,22-31
Case Keenum,6,1358,48,2180,0,148,14884,78,450,0,25-34
Travis Kelce,2,1,1,3,10344,8,4,0,14,69,24-33
Dennis Kelly,0,0,0,0,1,0,0,0,0,1,22-32
Matt Overton,0,0,0,0,0,0,0,0,0,0,36
Cordarrelle Patterson,22,0,0,1,2757,464,0,0,2330,15,22-31
Justin Pugh,0,0,0,0,0,0,0,0,0,0,23-32
Ryan Tannehill,26,2914,108,4534,8,423,33265,212,2029,1,24-34
Robert Woods,5,0,0,0,7604,74,0,0,507,37,21-30
Oday Aboushi,0,0,0,0,0,0,0,0,0,0,23-31
Tavon Austin,10,0,0,1,2239,199,0,0,1361,16,23-31
Joel Bitonio,0,0,0,0,0,0,0,0,0,0,23-31
Cameron Brate,0,0,0,0,2857,0,0,0,0,33,23-31
John Brown,0,1,0,1,4790,13,28,1,47,32,24-32
Brandin Cooks,2,0,0,0,8616,50,0,0,309,49,21-29
Mike Evans,0,0,0,0,10425,1,0,0,10,81,21-29
Cameron Fleming,0,0,0,0,0,0,0,0,0,0,22-30
Marquise Goodwin,0,0,0,0,3023,19,0,0,93,18,23-32
Chris Hubbard,0,0,0,0,0,0,0,0,0,0,23-31
James Hurst,0,0,0,0,0,0,0,0,0,0,23-31
Ryan Jensen,0,0,0,0,0,0,0,0,0,0,23-31
Jarvis Landry,5,6,0,9,7870,40,146,1,239,38,22-30
Charles Leno Jr.,0,0,0,0,0,0,0,0,0,0,23-31
Taylor Lewan,0,0,0,0,10,0,0,0,0,1,23-31
Corey Linsley,0,0,0,0,0,0,0,0,0,0,23-31
Cornelius Lucas,0,0,0,0,0,0,0,0,0,0,23-31
Zack Martin,0,0,0,0,0,0,0,0,0,0,24-32
Jake Matthews,0,0,0,0,0,0,0,0,0,0,22-30
Morgan Moses,0,0,0,0,0,0,0,0,0,0,23-31
Latavius Murray,55,0,0,0,1501,1481,0,0,6252,2,24-32
Andrew Norwell,0,0,0,0,0,0,0,0,0,0,23-31
Ty Nsekhe,0,0,0,0,0,0,0,0,0,0,27-37
Allen Robinson,0,0,0,0,6748,3,0,0,10,43,21-29
Richard Rodgers,0,0,0,0,1533,1,0,0,11,15,22-30
Tyler Shatley,0,0,0,0,0,0,0,0,0,0,23-31
Geno Smith,9,991,48,1578,13,226,11199,64,1067,0,23-32
Keith Smith,0,0,0,0,205,22,0,0,53,0,24-30
Adam Thielen,1,0,0,0,6682,21,0,0,172,55,24-32
Billy Turner,0,0,0,0,0,0,0,0,0,0,23-31
Trai Turner,0,0,0,0,0,0,0,0,0,0,21-29
Sammy Watkins,0,0,1,1,5384,11,0,0,76,34,21-29
Ameer Abdullah,6,0,0,0,1076,413,0,0,1594,8,22-29
Nelson Agholor,0,1,0,1,4246,14,15,0,71,31,22-29
Kenjon Barner,3,1,0,1,152,104,3,0,416,0,24-32
Blake Bell,0,0,0,0,641,5,0,0,12,1,24-31
Nick Boyle,0,0,0,0,1049,0,0,0,0,4,22-29
Teddy Bridgewater,11,1372,47,2067,0,219,15120,75,846,0,22-30
Justin Britt,0,0,0,0,0,0,0,0,0,0,23-31
Malcolm Brown,13,0,0,0,374,349,0,0,1394,1,22-29
Trent Brown,0,0,0,0,0,0,0,0,0,0,22-29
Michael Burton,1,0,0,0,123,28,0,0,62,1,23-30
A.J. Cann,0,0,0,0,0,0,0,0,0,0,24-31
Joe Cardona,0,0,0,0,0,0,0,0,0,0,29
Tevin Coleman,25,0,0,0,1317,789,0,0,3319,13,22-29
Chris Conley,0,0,0,0,2853,1,0,0,3,15,23-30
Amari Cooper,0,0,1,1,8236,14,0,0,41,55,21-28
