Staff Name,Role,Team Name
Brian Daboll,HC,Giants
Mike Kafka,OC,Giants
Wink Martindale,DC,Giants
Nick Sirianni,HC,Eagles
Brian Johnson,OC,Eagles
Sean Desai,DC,Eagles
Ron Rivera,HC,Commanders
Eric Bienienmy,OC,Commanders
Jack Del Rio,DC,Commanders
Mike McCarthy,HC,Cowboys
Brian Schottenheimer,OC,Cowboys
Dan Quinn,DC,Cowboys
Matt LaFleur,HC,Packers
Adam Stenavich,OC,Packers
Joe Barry,DC,Packers
Dan Campbell,HC,Lions
Ben Johnson,OC,Lions
Aaron Glenn,DC,Lions
Matt Eberflus,HC,Bears
Luke Getsy,OC,Bears
Alan Williams,DC,Bears
Kevin O'Connell,HC,Vikings
Wes Phillips,OC,Vikings
Brian Flores,DC,Vikings
Arthur Smith,HC,Falcons
Dave Ragone,OC,Falcons
Ryan Nielsen,DC,Falcons
Frank Reich,HC,Panthers
Thomas Brown,OC,Panthers
Ejiro Evero,DC,Panthers
Denis Allen,HC,Saints
Pete Carmichael,OC,Saints
Joe Woods,DC,Saints
Todd Bowles,HC,Buccaneers
Dave Canales,OC,Buccaneers
Jonathan Gannon,HC,Cardinals
Drew Petzing,OC,Cardinals
Nick Rallis,DC,Cardinals
Sean McVay,HC,Rams
Mike LaFleur,OC,Rams
Raheem Morris,DC,Rams
Kyle Shanahan,HC,49ers
Steve Wilks,DC,49ers
Pete Carroll,HC,Seahawks
Shane Waldron,OC,Seahawks
Clint Hurtt,DC,Seahawks
Sean McDermott,HC,Bills
Ken Dorsey,OC,Bills
Mike McDaniel,HC,Dolphins
Frank Smith,OC,Dolphins
Vic Fangio,DC,Dolphins
Bill Belichick,HC,Patriots
Bill O'Brien,OC,Patriots
Robert Saleh,HC,Jets
Nathaniel Hackett,OC,Jets
Jeff Ulbrich,DC,Jets
John Harbaugh,HC,Ravens
Todd Monken,OC,Ravens
Mike MacDonald,DC,Ravens
Zac Taylor,HC,Bengals
Brian Callahan,OC,Bengals
Kevin Stefanski,HC,Browns
Alex Van Pelt,OC,Browns
Jim Schwartz,DC,Browns
Mike Tomlin,HC,Steelers
Matt Canada,OC,Steelers
Teryl Austin,DC,Steelers
Demeco Ryans,HC,Texans
Bobby Slowik,OC,Texans
Matt Burke,DC,Texans
Shane Steichen,HC,Colts
Jim Bob Cooter,OC,Colts
Gus Bradley,DC,Colts
Doug Pederson,HC,Jaguars
Press Taylor,OC,Jaguars
Mike Caldwell,DC,Jaguars
Mike Vrabel,HC,Titans
Tim Kelly,OC,Titans
Shane Bowen,DC,Titans
Sean Payton,HC,Broncos
Vance Joseph,DC,Broncos
Andy Reid,HC,Chiefs
Matt Nagy,OC,Chiefs
Steve Spagnuolo,DC,Chiefs
Josh McDaniels,HC,Raiders
Mick Lombardi,OC,Raiders
Patrick Graham,DC,Raiders
Bradon Staley,HC,Chargers
Kellen Moore,OC,Chargers
Derrick Ansley,DC,Chargers
Joe Schoen,GM,Giants
Thomas McGaughey,ST,Giants
Howie Roseman,GM,Eagles
Michael Clay,ST,Eagles
Martin Mayhew,GM,Commanders
Nate Kaczor,ST,Commanders
Jerry Jones,GM,Cowboys
John Fassel,ST,Cowboys
Brian Gutekunst,GM,Packers
Rich Bisaccia,ST,Packers
Brad Holmes,GM,Lions
Dave Fipp,ST,Lions
Ryan Pace,GM,Bears
Richard Hightower,ST,Bears
Kwesi Adofo-Mensah,GM,Vikings
Matt Daniels,ST,Vikings
Terry Fontenot,GM,Falcons
Marquice Williams,ST,Falcons
Marty Hurney,GM,Panthers
Chris Tabor,ST,Panthers
Mickey Loomis,GM,Saints
Darren Rizzi,ST,Saints
Jason Licht,GM,Buccaneers
Keith Armstrong,ST,Buccaneers
Monti Ossenfort,GM,Cardinals
Ronald Booker,ST,Cardinals
Les Snead,GM,Rams
Chase Blackburn,ST,Rams
John Terrence Lynch Jr,GM,49ers
Brian Schneider,ST,49ers
John Schneider,GM,Seahawks
Larry Izzo,ST,Seahawks
Brandon Beane,GM,Bills
Mathew Smiley,ST,Bills
Chris Grier,GM,Dolphins
Dan Crossman,ST,Dolphins
Bill Belichick,GM,Patriots
Cameron Achord,ST,Patriots
Joe Douglas,GM,Jets
Brant Boyer,ST,Jets
Eric DeCosta,GM,Ravens
Chris Horton,ST,Ravens
Duke Tobin,GM,Bengals
Darrin Simmons,ST,Bengals
Andrew Berry,GM,Browns
Bubba Ventrone,ST,Browns
Omar Khan,GM,Steelers
Danny Smith,ST,Steelers
Nick Caserio,GM,Texans
Frank Ross,ST,Texans
Chris Ballard,GM,Colts
Brian Mason,ST,Colts
Trent Baalke,GM,Jaguars
Heath Farwell,ST,Jaguars
Jon Robinson,GM,Titans
Craig Aukerman,ST,Titans
George Paton,GM,Broncos
Ben Kotwica,ST,Broncos
Brett Veach,GM,Chiefs
Dave Toub,ST,Chiefs
Dave Ziegler,GM,Raiders
Tom McMahon,ST,Raiders
Tom Telesco,GM,Chargers
Ryan Ficken,ST,Chargers
Lou Anarumo,DC,Bengals
